站码	年份	月日	开始时间	结束时间	降水量
62334495	2009	517	400	500	4
62334495	2009	517	500	600	1.5
62334495	2009	517	600	700	3.5
62334495	2009	517	700	800	5
62334495	2009	517	800	900	4.5
62334495	2009	517	900	1000	2
62334495	2009	518	1300	1400	0.5
62334495	2009	518	1400	1500	0.5
62334495	2009	518	1500	1600	3
62334495	2009	518	1600	1700	3
62334495	2009	518	1700	2000	2
62334495	2009	518	2000	2100	0.5
62334495	2009	519	1400	1500	4
62334495	2009	519	1500	1600	4.5
62334495	2009	519	1600	1700	5.5
62334495	2009	519	1700	1800	0.5
62334495	2009	519	2300	2400	13.5
62334495	2009	520	0	100	3
62334495	2009	520	100	200	4.5
62334495	2009	520	200	300	7.5
62334495	2009	520	300	400	13.5
62334495	2009	520	400	500	3
62334495	2009	520	500	600	0.5
62334495	2009	520	700	800	5
62334495	2009	520	800	900	19
62334495	2009	520	900	1000	5.5
62334495	2009	520	1000	1100	3.5
62334495	2009	520	1100	1200	2
62334495	2009	520	1200	1300	3
62334495	2009	520	1300	1400	0.5
62334495	2009	520	1400	1700	1.5
62334495	2009	521	300	400	0.5
62334495	2009	523	0	200	1.5
62334495	2009	523	200	300	0.5
62334495	2009	523	1500	1600	0.5
62334495	2009	523	1900	2000	4
62334495	2009	523	2000	2200	1
62334495	2009	524	1400	1500	0.5
62334495	2009	524	1900	2000	0.5
62334495	2009	524	2000	2100	0.5
62334495	2009	525	900	1000	0.5
62334495	2009	525	1800	1900	14.5
62334495	2009	525	1900	2000	3.5
62334495	2009	525	2000	2100	12.5
62334495	2009	525	2100	2200	6
62334495	2009	526	0	100	3
62334495	2009	526	100	200	6.5
62334495	2009	526	200	400	2.5
62334495	2009	526	400	500	11.5
62334495	2009	526	500	800	2
62334495	2009	526	800	900	2
62334495	2009	526	900	1000	4
62334495	2009	526	1000	1100	7
62334495	2009	526	1100	1200	5.5
62334495	2009	526	1200	1400	4.5
62334495	2009	526	1500	1600	2
62334495	2009	526	2200	200	4.5
62334495	2009	527	300	500	2
