STCD	BGTM	                ENDTM	                P
62310305	2010/1/1 9:00	2010/1/1 11:00	1
62310305	2010/1/1 14:00	2010/1/1 15:00	0.5
62310305	2010/1/1 22:00	2010/1/1 23:00	0.5
62310305	2010/1/2 0:00	2010/1/2 2:00	1
62310305	2010/1/2 2:00	2010/1/2 4:00	1
62310305	2010/1/2 5:00	2010/1/2 8:00	2.5
62310305	2010/1/2 8:00	2010/1/2 9:00	0.5
62310305	2010/1/5 17:00	2010/1/5 18:00	0.5
62310305	2010/1/5 19:00	2010/1/5 20:00	0.5
62310305	2010/1/5 20:00	2010/1/5 21:00	0.5
62310305	2010/1/5 22:00	2010/1/6 0:00	2
62310305	2010/1/6 1:00	2010/1/6 2:00	0.5
62310305	2010/1/8 11:00	2010/1/8 12:00	0.5
62310305	2010/1/8 12:00	2010/1/8 13:00	3.5
62310305	2010/1/10 1:00	2010/1/10 2:00	2
62310305	2010/1/10 6:00	2010/1/10 7:00	2
62310305	2010/1/10 10:00	2010/1/10 11:00	0.5
62310305	2010/1/10 12:00	2010/1/10 14:00	2.5
62310305	2010/1/10 14:00	2010/1/10 15:00	0.5
62310305	2010/1/10 16:00	2010/1/10 17:00	0.5
62310305	2010/1/10 18:00	2010/1/10 19:00	0.5
62310305	2010/1/10 20:00	2010/1/10 21:00	0.5
62310305	2010/1/10 22:00	2010/1/10 23:00	0.5
62310305	2010/1/11 0:00	2010/1/11 1:00	0.5
62310305	2010/1/11 4:00	2010/1/11 8:00	3.5
62310305	2010/1/13 9:00	2010/1/13 10:00	0.5
62310305	2010/1/20 17:00	2010/1/20 18:00	0.5
62310305	2010/1/21 3:00	2010/1/21 4:00	1.5
62310305	2010/1/21 4:00	2010/1/21 5:00	3
62310305	2010/1/21 5:00	2010/1/21 8:00	3.5
62310305	2010/1/21 8:00	2010/1/21 13:00	3.5
62310305	2010/1/21 13:00	2010/1/21 14:00	6
62310305	2010/1/21 14:00	2010/1/21 17:00	3.5
62310305	2010/1/22 0:00	2010/1/22 2:00	1
62310305	2010/1/22 2:00	2010/1/22 3:00	1
62310305	2010/1/22 4:00	2010/1/22 5:00	0.5
62310305	2010/1/22 6:00	2010/1/22 8:00	1.5
62310305	2010/1/22 9:00	2010/1/22 14:00	3
62310305	2010/1/22 15:00	2010/1/22 17:00	1
62310305	2010/1/22 18:00	2010/1/22 20:00	1
62310305	2010/1/22 20:00	2010/1/22 21:00	0.5
62310305	2010/1/22 23:00	2010/1/23 2:00	2
62310305	2010/1/23 2:00	2010/1/23 3:00	0.5
62310305	2010/1/23 4:00	2010/1/23 8:00	2
62310305	2010/1/23 9:00	2010/1/23 14:00	3.5
62310305	2010/1/23 14:00	2010/1/23 18:00	2.5
62310305	2010/1/24 11:00	2010/1/24 12:00	0.5
62310305	2010/1/24 23:00	2010/1/25 0:00	0.5
62310305	2010/1/25 13:00	2010/1/25 14:00	0.5
62310305	2010/1/27 10:00	2010/1/27 13:00	1.5
62310305	2010/1/27 14:00	2010/1/27 15:00	0.5
62310305	2010/1/27 19:00	2010/1/27 20:00	0.5
62310305	2010/1/27 20:00	2010/1/27 21:00	1
62310305	2010/1/28 3:00	2010/1/28 4:00	1
62310305	2010/1/28 5:00	2010/1/28 7:00	4
62310305	2010/1/29 10:00	2010/1/29 11:00	0.5
62310305	2010/1/30 9:00	2010/1/30 11:00	2.5
62310305	2010/1/30 23:00	2010/1/31 0:00	1.5
