站码	年份	月日	时间	水位	流量
62310120	2008	411	800	91.89	21.4
62310120	2008	411	2000	91.92	23
62310120	2008	412	0	91.95	24.8
62310120	2008	412	200	91.98	26.7
62310120	2008	412	500	92.03	31
62310120	2008	412	800	92.22	52.3
62310120	2008	412	1200	92.26	57.7
62310120	2008	412	1700	92.4	77.2
62310120	2008	412	2000	92.45	84.8
62310120	2008	412	2200	92.54	99.4
62310120	2008	413	0	92.69	125
62310120	2008	413	300	93.09	199
62310120	2008	413	330	93.11	203
62310120	2008	413	400	93.12	205
62310120	2008	413	500	93.1	201
62310120	2008	413	800	92.92	167
62310120	2008	413	1100	92.77	139
62310120	2008	413	1500	92.68	124
62310120	2008	413	1900	92.72	130
62310120	2008	413	2100	92.71	129
62310120	2008	414	0	92.69	125
62310120	2008	414	200	92.58	106
62310120	2008	414	800	92.45	84.8
62310120	2008	414	1400	92.35	70
62310120	2008	414	2000	92.34	68.6
62310120	2008	415	800	92.28	60.4
62310120	2008	416	800	92.12	40.2
62310120	2008	416	2000	92.1	38
62310120	2008	417	800	92.16	44.9
62310120	2008	418	800	92.05	32.9
62310120	2008	418	2000	92.03	31
62310120	2008	419	800	92	28.2
62310120	2008	419	2000	92.01	29
62310120	2008	420	800	91.95	24.8
62310120	2008	504	800	91.86	23.6
62310120	2008	504	1400	91.86	23.6
62310120	2008	505	0	91.92	27.1
62310120	2008	505	800	92.02	34.1
62310120	2008	505	2000	91.96	29.7
62310120	2008	506	800	92	32.5
62310120	2008	506	1400	91.98	31
62310120	2008	506	2000	92.06	37.7
62310120	2008	507	0	92.06	37.7
62310120	2008	507	800	92.12	43.4
62310120	2008	507	1200	92.12	43.4
62310120	2008	507	2000	92.22	54
62310120	2008	508	100	92.37	72.9
62310120	2008	508	200	92.37	72.9
62310120	2008	508	800	92.28	61.3
62310120	2008	508	1900	92.17	48.4
62310120	2008	508	2200	92.26	58.8
62310120	2008	509	0	92.46	86.4
62310120	2008	509	500	93.37	255
62310120	2008	509	600	93.44	271
62310120	2008	509	630	93.45	273
62310120	2008	509	700	93.45	273
62310120	2008	509	800	93.39	260
62310120	2008	509	1000	93.24	229
62310120	2008	509	1200	93.15	211
62310120	2008	509	1500	93.08	197
62310120	2008	510	200	92.61	111
62310120	2008	510	800	92.49	91.2
