廖坊坝上站洪水要素摘录统计表		
时间：2005-01-01 00 时 -- 2006-01-01 00 时		时段长：1 小时
时间	            水位（米）	流量（m^3/s）
2005-01-01 00 时	36.78	142
2005-01-01 01 时	36.78	142
2005-01-01 02 时	36.78	142
2005-01-01 03 时	36.78	142
2005-01-01 04 时	36.78	142
2005-01-01 05 时	36.78	142
2005-01-01 06 时	36.78	142
2005-01-01 07 时	36.78	142
2005-01-01 08 时	36.78	142
2005-01-01 09 时	36.78	142
2005-01-01 10 时	36.78	142
2005-01-01 11 时	36.78	142
2005-01-01 12 时	36.78	142
2005-01-01 13 时	36.78	142
2005-01-01 14 时	36.78	142
2005-01-01 15 时	36.78	142
2005-01-01 16 时	36.78	142
2005-01-01 17 时	36.78	142
2005-01-01 18 时	36.78	142
2005-01-01 19 时	36.78	142
2005-01-01 20 时	36.78	142
