STCD	TM	INTV	TMV	AVV	MXV	MXVTM	MNV	MNVTM	SN	BACK
61800011	2006/6/6 8:00	360	180	180	180	2006/6/6 8:00	180	2006/6/6 8:00	 	 
61800011	2006/6/6 14:00	360	260	260	260	2006/6/6 14:00	260	2006/6/6 14:00	 	 
61800011	2006/6/6 20:00	360	370	370	370	2006/6/6 20:00	370	2006/6/6 20:00	 	 
61800011	2006/6/7 2:00	360	510	510	510	2006/6/7 2:00	510	2006/6/7 2:00	 	 
61800011	2006/6/7 8:00	360	720	720	720	2006/6/7 8:00	720	2006/6/7 8:00	 	 
61800011	2006/6/7 14:00	360	1012.4	1012.4	1012.4	2006/6/7 14:00	1012.4	2006/6/7 14:00	 	 
61800011	2006/6/7 20:00	360	1232.8	1232.8	1232.8	2006/6/7 20:00	1232.8	2006/6/7 20:00	 	 
61800011	2006/6/8 2:00	360	928.6	928.6	928.6	2006/6/8 2:00	928.6	2006/6/8 2:00	 	 
61800011	2006/6/8 8:00	360	662.4	662.4	662.4	2006/6/8 8:00	662.4	2006/6/8 8:00	 	 
61800011	2006/6/8 14:00	360	515.5	515.5	515.5	2006/6/8 14:00	515.5	2006/6/8 14:00	 	 
61800011	2006/6/8 20:00	360	437	437	437	2006/6/8 20:00	437	2006/6/8 20:00	 	 
61800011	2006/6/9 2:00	360	366.3	366.3	366.3	2006/6/9 2:00	366.3	2006/6/9 2:00	 	 
61800011	2006/6/9 8:00	360	315.1	315.1	315.1	2006/6/9 8:00	315.1	2006/6/9 8:00	 	 
61800011	2006/6/9 14:00	360	299.6	299.6	299.6	2006/6/9 14:00	299.6	2006/6/9 14:00	 	 
61800011	2006/6/9 20:00	360	239.8	239.8	239.8	2006/6/9 20:00	239.8	2006/6/9 20:00	 	 
61800011	2006/6/10 2:00	360	244.8	244.8	244.8	2006/6/10 2:00	244.8	2006/6/10 2:00	 	 
61800011	2006/6/10 8:00	360	244.4	244.4	244.4	2006/6/10 8:00	244.4	2006/6/10 8:00	 	 
61800011	2006/6/10 14:00	360	214.2	214.2	214.2	2006/6/10 14:00	214.2	2006/6/10 14:00	 	 
61800011	2010/4/11 8:00	360	210	210	210	2010/4/11 8:00	210	2010/4/11 8:00	 	 
61800011	2010/4/11 14:00	360	260	260	260	2010/4/11 14:00	260	2010/4/11 14:00	 	 
61800011	2010/4/11 20:00	360	316.2	316.2	316.2	2010/4/11 20:00	316.2	2010/4/11 20:00	 	 
61800011	2010/4/12 2:00	360	356.4	356.4	356.4	2010/4/12 2:00	356.4	2010/4/12 2:00	 	 
61800011	2010/4/12 8:00	360	391.7	391.7	391.7	2010/4/12 8:00	391.7	2010/4/12 8:00	 	 
61800011	2010/4/12 14:00	360	446.2	446.2	446.2	2010/4/12 14:00	446.2	2010/4/12 14:00	 	 
61800011	2010/4/12 20:00	360	406.2	406.2	406.2	2010/4/12 20:00	406.2	2010/4/12 20:00	 	 
61800011	2010/4/13 2:00	360	462.2	462.2	462.2	2010/4/13 2:00	462.2	2010/4/13 2:00	 	 
61800011	2010/4/13 8:00	360	590.8	590.8	590.8	2010/4/13 8:00	590.8	2010/4/13 8:00	 	 
61800011	2010/4/13 14:00	360	529.6	529.6	529.6	2010/4/13 14:00	529.6	2010/4/13 14:00	 	 
61800011	2010/4/13 20:00	360	440.7	440.7	440.7	2010/4/13 20:00	440.7	2010/4/13 20:00	 	 
61800011	2010/4/14 2:00	360	416.1	416.1	416.1	2010/4/14 2:00	416.1	2010/4/14 2:00	 	 
61800011	2010/4/14 8:00	360	397.5	397.5	397.5	2010/4/14 8:00	397.5	2010/4/14 8:00	 	 
61800011	2010/4/14 14:00	360	349.3	349.3	349.3	2010/4/14 14:00	349.3	2010/4/14 14:00	 	 
61800011	2010/4/14 20:00	360	347.5	347.5	347.5	2010/4/14 20:00	347.5	2010/4/14 20:00	 	 
61800011	2010/4/15 2:00	360	436.8	436.8	436.8	2010/4/15 2:00	436.8	2010/4/15 2:00	 	 
61800011	2010/4/15 8:00	360	440.7	440.7	440.7	2010/4/15 8:00	440.7	2010/4/15 8:00	 	 
61800011	2010/4/15 14:00	360	418.5	418.5	418.5	2010/4/15 14:00	418.5	2010/4/15 14:00	 	 
61800011	2010/4/15 20:00	360	331.4	331.4	331.4	2010/4/15 20:00	331.4	2010/4/15 20:00	 	 
61800011	2010/4/16 2:00	360	315.2	315.2	315.2	2010/4/16 2:00	315.2	2010/4/16 2:00	 	 
61800011	2010/4/16 8:00	360	267.8	267.8	267.8	2010/4/16 8:00	267.8	2010/4/16 8:00	 	 
61800011	2010/4/16 14:00	360	229.2	229.2	229.2	2010/4/16 14:00	229.2	2010/4/16 14:00	 	 
