澴水  草店站降水量摘录表																			
年份：		1996	测站编码：		62205400							单位：降水量，(mm)					共3 页 第 1 页		
月	日	       起时:分	       止时:分	降水量	   月	日	       起时:分	       止时:分	降水量	  月	日	       起时:分	       止时:分	降水量	月	    日	       起时:分	       止时:分	降水量
																			
4	5	          15	       18	      0.4	    5	3	       7	            8	     1.2	  6	    4	        11	            12	     3.4	6	    23	        22	            23	      5
	8	          17	       20	      0.8	    		       8	            9	     5.7		    	        12	            14	     2.2		    	        23	            24	      9.5
		          22	       2	      1	 	   	               9	            10	     6			                14	            20	     2.7		    24	        0	            1	      8.2
	9	          2 	       5	      1.8	    		       10	            11	     2			                20	            21	     1.3		    	        1	            2	      4.5
		          8	           13	      3	 	   	               11	            12	     2.8		    	        21	            22	     6.8		    	        2	            3	      3.4
		          14	       15	      0.1	    		       12	            14	     0.7		    	        22	            23	     1.9		    	        3	            4	      2.4
	12	          8	           14	      3.6	    	6	       0	            2	     0.3		    5	        1	            2	     0.2		    	        4	            5	      4.9
		          14	       15	      0.3	    		       4	            5	     0.1		    	        2	            3	     0.1		    	        5	            8	      2
		          17	       20	      0.5	    		       6	            7	     0.6		    	        20	            21	     0.3		    27	        2	            8	      4.9
		          20	       23	      0.9	    		       13	            14	     0.6		    6	        11	            12	     0.2		    28	        3	            4	      4.6
	18	          17	       18	      0.1	    		       15	            20	     1.6		    	        13	            14	     0.1		    	        4	            5	      11.3
		          20	       23	      0.9	    		       20	            1	     1.2		    	        14	            15	     0.3		    	        5	            7	      1.5
	26	          23	       2	      0.6	    	7	       5	            8	     0.3		    	        15	            16	     4.3		    	        7	            8	      7.4
	27	          3	           5	      0.3	    	10	       12	            14	     0.3		    	        16	            17	     3.7		    	        8	            12	      2
		          6	           8	      0.7	    	13	       19	            20	     0.1		    	        17	            18	     0.5		    	        14	            17	      2.8
		          13	       14	      0.4	    		       20	            1	     0.9		    	        21	            23	     0.4		    	        18	            19	      4.7
		          14	       18	      2.2	    	14	       4	            6	     0.6		    7	        4	            8	     4			                19	            20	      10.9
		          23	       24	      0.1	    		       21	            2	     4.8		    	        9	            10	     0.4		    29	        0	            1	      0.1
	28	          5	           8	      2.4	    	15	       2	            5	     2.7		    8	        2	            4	     0.8		    	        3	            4	      0.1
		          8	           13	      5.3	    	24	       8	            10	     0.5		    	        5	            6	     0.5	7	    1	        16	            19	      0.9
		          13	       14	      3.5	    	31	       1	            2	     0.2		    	        6	            7	     3.2		    2	        2	            3	      0.1
		          14	       15	      0.1	    		       2	            3	     0.2		    	        10	            13	     0.9		    	        4	            5	      0.2
		          16	       17	      0.4	    		       6	            7	     0.1		    17	        12	            13	     0.3		    	        5	            6	      3.2
	29	          6  	       7	      11.4 	   6	2	       11	            12	     0.1		    18	        3	            4	     0.4		    	        6	            7	      35.1
		          8	           10	      0.8	    		       14	            15	     0.2		    19	        6	            7	     0.4		    	        7	            8	      49.7
		          12	       13	      0.1	    		       20	            21	     0.4		    	        7	            8	     9.1		    	        8	            9	      9.1
5	2	          13	       14	      0.1	    		       21	            22	     2.8		    	        8	            9	     5.2		    	        9	            10	      21.3
		          14	       20	      4.6	    		       22	            24	     2.6		    	        9	            11	     1.1		    	        10	            11	      6.7
		          20	       22	      0.7	    	3	       0	            1	     4.7		    	        13	            14	     0.2		    	        11	            12	      23.5
		          22	       23	      3.1	    		       1	            2	     2.3		    	        15	            16	     0.1		    	        12	            13	      12.5
		          23	       24	      4.4	    		       2	            4	     0.5		    	        17	            20	     0.5		    	        13	            14	      15.4
	3	          1	           2	      0.1	    		       23	            1	     0.4		    23	        14	            17	     1			                14	            15	      18.4
		          2	           5	      6.7	    	4	       8	            9	     0.3		    	        17	            18	     4.9		    	        15	            16	      22.9
		          5	           6	      7	 	   	               9	            10	     8.2		    	        18	            20	     1.3		    	        16	            17	      14.2
		          6	           7	      7.7	 		           10	            11	     1			                20	            22	     2.6		    	        17	            18	      13.3
